vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Joe Biden,female,white,"50,000 to 99,999",associate degree,73,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,38,0
Joe Biden,male,white,"100,000 to 149,999",highschool or less,50,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,61,1
Joe Biden,female,white,"150,000 or more",associate degree,63,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,67,1
Joe Biden,male,black/african american/negro,"less than 25,000",associate degree,52,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,25,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,44,0
Joe Biden,female,white,"less than 25,000",bachelors degree,69,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,74,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,65,1
Joe Biden,female,white,"25,000 to 49,999",masters or above,39,0
Donald Trump,female,white,"150,000 or more",bachelors degree,50,1
Donald Trump,female,white,"50,000 to 99,999",highschool or less,68,1
Joe Biden,male,white,"25,000 to 49,999",associate degree,18,0
Donald Trump,female,white,"25,000 to 49,999",bachelors degree,56,1
Donald Trump,female,white,"less than 25,000",highschool or less,51,1
Donald Trump,female,american indian or alaska native,"50,000 to 99,999",highschool or less,24,1
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,68,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,62,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,73,1
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,55,0
Donald Trump,female,white,"100,000 to 149,999",associate degree,58,1
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,66,0
Joe Biden,female,white,"25,000 to 49,999",highschool or less,74,0
Donald Trump,male,white,"less than 25,000",highschool or less,33,1
Joe Biden,female,japanese,"150,000 or more",bachelors degree,37,0
Joe Biden,female,white,"150,000 or more",masters or above,63,0
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,41,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,54,1
Joe Biden,male,black/african american/negro,"25,000 to 49,999",associate degree,41,0
Joe Biden,female,white,"50,000 to 99,999",masters or above,73,0
Donald Trump,male,white,"150,000 or more",masters or above,44,1
Joe Biden,female,white,"less than 25,000",highschool or less,28,0
Donald Trump,male,white,"150,000 or more",masters or above,44,1
Donald Trump,male,white,"less than 25,000",associate degree,40,1
Joe Biden,male,black/african american/negro,"50,000 to 99,999",highschool or less,23,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,32,0
Joe Biden,male,white,"150,000 or more",masters or above,39,0
Donald Trump,female,white,"less than 25,000",highschool or less,28,1
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,32,0
Joe Biden,male,white,"25,000 to 49,999",highschool or less,57,0
Donald Trump,male,black/african american/negro,"50,000 to 99,999",bachelors degree,32,1
Donald Trump,female,white,"less than 25,000",highschool or less,54,1
Donald Trump,male,other asian or pacific islander,"25,000 to 49,999",bachelors degree,19,1
Joe Biden,female,"other race, nec","50,000 to 99,999",masters or above,42,0
Joe Biden,female,white,"100,000 to 149,999",associate degree,18,0
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,56,1
Donald Trump,male,white,"150,000 or more",masters or above,42,1
Joe Biden,male,white,"25,000 to 49,999",masters or above,70,0
Donald Trump,male,white,"less than 25,000",highschool or less,19,1
Joe Biden,male,black/african american/negro,"25,000 to 49,999",highschool or less,40,0
Joe Biden,male,white,"50,000 to 99,999",associate degree,57,0
Donald Trump,male,white,"150,000 or more",bachelors degree,40,1
Donald Trump,female,white,"50,000 to 99,999",associate degree,30,1
Joe Biden,male,white,"100,000 to 149,999",masters or above,38,0
Joe Biden,male,white,"less than 25,000",highschool or less,27,0
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,38,0
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,34,0
Joe Biden,female,white,"25,000 to 49,999",highschool or less,38,0
Joe Biden,female,white,"less than 25,000",highschool or less,21,0
Donald Trump,male,white,"150,000 or more",masters or above,40,1
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,45,0
Joe Biden,female,other asian or pacific islander,"50,000 to 99,999",associate degree,19,0
Joe Biden,female,white,"100,000 to 149,999",masters or above,65,0
Donald Trump,female,white,"less than 25,000",highschool or less,61,1
Donald Trump,male,white,"150,000 or more",bachelors degree,40,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,37,0
Joe Biden,male,white,"less than 25,000",associate degree,20,0
Joe Biden,male,white,"150,000 or more",masters or above,42,0
Joe Biden,female,"other race, nec","50,000 to 99,999",bachelors degree,19,0
Joe Biden,male,white,"150,000 or more",masters or above,45,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,67,1
Joe Biden,male,black/african american/negro,"25,000 to 49,999",highschool or less,29,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,68,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,54,0
Joe Biden,male,chinese,"150,000 or more",masters or above,31,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,43,0
Donald Trump,male,other asian or pacific islander,"less than 25,000",highschool or less,42,1
Donald Trump,male,white,"150,000 or more",masters or above,41,1
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,19,0
Joe Biden,male,white,"less than 25,000",associate degree,62,0
Donald Trump,female,"other race, nec","less than 25,000",associate degree,19,1
Donald Trump,male,white,"25,000 to 49,999",highschool or less,20,1
Joe Biden,male,white,"25,000 to 49,999",associate degree,30,0
Joe Biden,male,white,"less than 25,000",associate degree,19,0
Donald Trump,male,white,"150,000 or more",masters or above,42,1
Donald Trump,male,white,"50,000 to 99,999",highschool or less,42,1
Joe Biden,male,white,"25,000 to 49,999",highschool or less,61,0
Joe Biden,female,white,"less than 25,000",bachelors degree,22,0
Donald Trump,male,white,"150,000 or more",masters or above,39,1
Joe Biden,female,white,"50,000 to 99,999",masters or above,66,0
Donald Trump,male,white,"less than 25,000",highschool or less,38,1
Joe Biden,male,white,"150,000 or more",masters or above,35,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,25,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,35,1
Joe Biden,male,"other race, nec","less than 25,000",associate degree,25,0
Joe Biden,male,black/african american/negro,"100,000 to 149,999",highschool or less,70,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,82,0
Donald Trump,male,white,"25,000 to 49,999",bachelors degree,70,1
Donald Trump,male,white,"25,000 to 49,999",bachelors degree,50,1
Joe Biden,male,white,"less than 25,000",highschool or less,20,0
Donald Trump,male,white,"150,000 or more",masters or above,35,1
Joe Biden,female,white,"25,000 to 49,999",highschool or less,24,0
Donald Trump,male,white,"50,000 to 99,999",associate degree,56,1
Donald Trump,male,white,"25,000 to 49,999",associate degree,51,1
Donald Trump,female,white,"25,000 to 49,999",highschool or less,31,1
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,34,1
Donald Trump,male,white,"50,000 to 99,999",associate degree,30,1
Joe Biden,male,black/african american/negro,"25,000 to 49,999",highschool or less,31,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,61,0
Donald Trump,male,white,"less than 25,000",highschool or less,20,1
Joe Biden,male,white,"150,000 or more",highschool or less,18,0
Joe Biden,female,black/african american/negro,"150,000 or more",bachelors degree,25,0
Donald Trump,female,white,"less than 25,000",highschool or less,29,1
Donald Trump,male,white,"less than 25,000",associate degree,66,1
Donald Trump,male,white,"150,000 or more",masters or above,43,1
Donald Trump,male,white,"150,000 or more",bachelors degree,37,1
Donald Trump,male,"other race, nec","25,000 to 49,999",bachelors degree,44,1
Joe Biden,male,black/african american/negro,"25,000 to 49,999",highschool or less,54,0
Donald Trump,male,white,"less than 25,000",associate degree,69,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,66,0
Joe Biden,male,white,"150,000 or more",masters or above,42,0
Joe Biden,female,black/african american/negro,"less than 25,000",associate degree,24,0
Donald Trump,female,white,"less than 25,000",highschool or less,66,1
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,77,0
Donald Trump,female,white,"100,000 to 149,999",masters or above,41,1
Donald Trump,male,white,"100,000 to 149,999",masters or above,33,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,44,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,75,0
Joe Biden,female,white,"less than 25,000",associate degree,18,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,35,0
Joe Biden,male,american indian or alaska native,"50,000 to 99,999",highschool or less,32,0
Donald Trump,male,white,"100,000 to 149,999",masters or above,45,1
Donald Trump,female,white,"50,000 to 99,999",highschool or less,53,1
Donald Trump,male,white,"150,000 or more",masters or above,40,1
Donald Trump,female,white,"less than 25,000",highschool or less,38,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,28,0
Donald Trump,male,white,"50,000 to 99,999",masters or above,67,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,44,0
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,57,0
Joe Biden,male,black/african american/negro,"50,000 to 99,999",associate degree,24,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,65,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,51,1
Joe Biden,female,other asian or pacific islander,"50,000 to 99,999",bachelors degree,45,0
Donald Trump,female,white,"less than 25,000",associate degree,20,1
Donald Trump,female,white,"150,000 or more",bachelors degree,32,1
Joe Biden,male,white,"25,000 to 49,999",associate degree,42,0
Donald Trump,male,white,"25,000 to 49,999",masters or above,55,1
Donald Trump,female,"other race, nec","25,000 to 49,999",associate degree,20,1
Joe Biden,male,white,"less than 25,000",associate degree,52,0
Donald Trump,male,white,"less than 25,000",associate degree,20,1
Donald Trump,male,white,"100,000 to 149,999",highschool or less,40,1
Joe Biden,male,white,"150,000 or more",bachelors degree,54,0
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,55,0
Donald Trump,male,white,"25,000 to 49,999",highschool or less,78,1
Joe Biden,male,white,"less than 25,000",associate degree,62,0
Donald Trump,female,black/african american/negro,"25,000 to 49,999",highschool or less,54,1
Joe Biden,female,black/african american/negro,"less than 25,000",associate degree,37,0
Joe Biden,male,white,"50,000 to 99,999",associate degree,76,0
Joe Biden,male,white,"100,000 to 149,999",masters or above,41,0
Joe Biden,male,white,"less than 25,000",associate degree,71,0
Donald Trump,male,white,"150,000 or more",masters or above,40,1
Donald Trump,female,white,"100,000 to 149,999",highschool or less,69,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,44,0
Donald Trump,female,white,"150,000 or more",bachelors degree,43,1
Donald Trump,female,white,"50,000 to 99,999",highschool or less,37,1
Donald Trump,male,white,"150,000 or more",masters or above,35,1
Joe Biden,female,american indian or alaska native,"less than 25,000",bachelors degree,21,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,25,0
Joe Biden,female,other asian or pacific islander,"25,000 to 49,999",highschool or less,35,0
Joe Biden,male,"other race, nec","25,000 to 49,999",associate degree,32,0
Donald Trump,female,white,"100,000 to 149,999",masters or above,35,1
Donald Trump,male,white,"150,000 or more",masters or above,40,1
Donald Trump,male,white,"25,000 to 49,999",highschool or less,43,1
Donald Trump,female,white,"150,000 or more",bachelors degree,51,1
Donald Trump,female,white,"less than 25,000",highschool or less,48,1
Donald Trump,male,white,"25,000 to 49,999",bachelors degree,31,1
