vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,52,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,47,0
Joe Biden,female,"other race, nec","less than 25,000",associate degree,23,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,42,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,44,0
Joe Biden,female,"other race, nec","25,000 to 49,999",associate degree,35,0
Joe Biden,male,black/african american/negro,"25,000 to 49,999",highschool or less,30,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,24,0
Joe Biden,female,white,"50,000 to 99,999",highschool or less,47,0
Joe Biden,female,"other race, nec","less than 25,000",masters or above,26,0
Joe Biden,male,white,"50,000 to 99,999",associate degree,59,0
Joe Biden,male,white,"less than 25,000",bachelors degree,31,0
Donald Trump,female,white,"25,000 to 49,999",masters or above,42,1
Joe Biden,male,white,"100,000 to 149,999",associate degree,71,0
Donald Trump,male,white,"50,000 to 99,999",masters or above,62,1
Donald Trump,female,white,"25,000 to 49,999",highschool or less,23,1
Donald Trump,female,black/african american/negro,"less than 25,000",associate degree,19,1
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,32,0
Joe Biden,male,"other race, nec","25,000 to 49,999",highschool or less,45,0
Donald Trump,male,white,"150,000 or more",associate degree,65,1
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,64,0
Donald Trump,male,white,"150,000 or more",bachelors degree,35,1
Donald Trump,female,white,"25,000 to 49,999",highschool or less,25,1
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,53,0
Donald Trump,male,white,"100,000 to 149,999",associate degree,55,1
Donald Trump,male,white,"50,000 to 99,999",associate degree,36,1
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,62,0
Donald Trump,male,white,"100,000 to 149,999",masters or above,40,1
Joe Biden,male,"other race, nec","50,000 to 99,999",bachelors degree,30,0
Joe Biden,male,white,"less than 25,000",associate degree,66,0
Donald Trump,male,chinese,"100,000 to 149,999",associate degree,72,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,37,0
Joe Biden,female,"other race, nec","less than 25,000",highschool or less,18,0
Joe Biden,male,white,"less than 25,000",highschool or less,20,0
Joe Biden,male,white,"25,000 to 49,999",associate degree,23,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,37,1
Joe Biden,female,white,"less than 25,000",highschool or less,63,0
Joe Biden,female,white,"less than 25,000",highschool or less,30,0
Joe Biden,male,white,"50,000 to 99,999",highschool or less,19,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,53,0
Joe Biden,male,white,"100,000 to 149,999",masters or above,55,0
Joe Biden,female,"other race, nec","50,000 to 99,999",highschool or less,21,0
Joe Biden,male,white,"50,000 to 99,999",associate degree,68,0
Joe Biden,female,black/african american/negro,"less than 25,000",bachelors degree,55,0
Donald Trump,male,white,"50,000 to 99,999",associate degree,26,1
Joe Biden,male,white,"less than 25,000",highschool or less,57,0
Donald Trump,female,white,"less than 25,000",associate degree,27,1
Donald Trump,male,white,"less than 25,000",highschool or less,66,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,36,0
Donald Trump,male,white,"50,000 to 99,999",masters or above,31,1
Joe Biden,male,black/african american/negro,"less than 25,000",associate degree,72,0
Donald Trump,female,white,"50,000 to 99,999",highschool or less,64,1
Joe Biden,male,"other race, nec","less than 25,000",highschool or less,33,0
Donald Trump,male,white,"150,000 or more",masters or above,41,1
Donald Trump,male,white,"150,000 or more",masters or above,66,1
Donald Trump,male,white,"less than 25,000",highschool or less,55,1
Donald Trump,female,white,"less than 25,000",associate degree,39,1
Joe Biden,male,white,"100,000 to 149,999",associate degree,31,0
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,33,1
Joe Biden,male,white,"less than 25,000",highschool or less,35,0
Joe Biden,male,white,"less than 25,000",highschool or less,74,0
Donald Trump,female,american indian or alaska native,"25,000 to 49,999",associate degree,66,1
Joe Biden,male,white,"50,000 to 99,999",highschool or less,61,0
Joe Biden,male,black/african american/negro,"50,000 to 99,999",highschool or less,54,0
Donald Trump,male,white,"100,000 to 149,999",bachelors degree,69,1
Joe Biden,male,white,"25,000 to 49,999",highschool or less,87,0
Donald Trump,male,white,"50,000 to 99,999",associate degree,64,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,75,0
Donald Trump,male,white,"150,000 or more",masters or above,41,1
Joe Biden,male,black/african american/negro,"50,000 to 99,999",bachelors degree,50,0
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,50,1
Joe Biden,male,white,"100,000 to 149,999",bachelors degree,51,0
Joe Biden,female,white,"50,000 to 99,999",highschool or less,22,0
Joe Biden,female,american indian or alaska native,"100,000 to 149,999",highschool or less,18,0
Joe Biden,female,"other race, nec","less than 25,000",highschool or less,20,0
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,77,0
Joe Biden,female,black/african american/negro,"50,000 to 99,999",associate degree,75,0
Joe Biden,female,black/african american/negro,"50,000 to 99,999",masters or above,54,0
Donald Trump,male,white,"100,000 to 149,999",highschool or less,55,1
Donald Trump,male,white,"25,000 to 49,999",highschool or less,52,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,57,0
Donald Trump,male,white,"less than 25,000",highschool or less,34,1
Joe Biden,female,black/african american/negro,"less than 25,000",associate degree,58,0
Joe Biden,female,black/african american/negro,"25,000 to 49,999",highschool or less,56,0
Donald Trump,male,white,"100,000 to 149,999",bachelors degree,36,1
Joe Biden,female,white,"50,000 to 99,999",highschool or less,45,0
Joe Biden,male,white,"100,000 to 149,999",bachelors degree,56,0
Donald Trump,male,white,"50,000 to 99,999",highschool or less,66,1
Donald Trump,male,white,"less than 25,000",bachelors degree,58,1
Joe Biden,female,white,"50,000 to 99,999",highschool or less,20,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,77,1
Joe Biden,female,white,"50,000 to 99,999",masters or above,59,0
Joe Biden,female,black/african american/negro,"50,000 to 99,999",bachelors degree,62,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,33,0
Donald Trump,male,white,"100,000 to 149,999",bachelors degree,34,1
Joe Biden,male,white,"150,000 or more",bachelors degree,68,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,49,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,33,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,51,1
Joe Biden,male,american indian or alaska native,"50,000 to 99,999",bachelors degree,49,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,34,0
Donald Trump,female,white,"less than 25,000",bachelors degree,37,1
Joe Biden,male,black/african american/negro,"150,000 or more",bachelors degree,65,0
Donald Trump,male,white,"25,000 to 49,999",highschool or less,45,1
Donald Trump,female,white,"50,000 to 99,999",highschool or less,33,1
Joe Biden,male,white,"150,000 or more",masters or above,39,0
Joe Biden,female,"other race, nec","25,000 to 49,999",highschool or less,50,0
Donald Trump,male,white,"25,000 to 49,999",highschool or less,50,1
Donald Trump,male,white,"150,000 or more",associate degree,60,1
Donald Trump,female,white,"less than 25,000",associate degree,34,1
Donald Trump,female,white,"less than 25,000",highschool or less,43,1
Donald Trump,male,white,"25,000 to 49,999",associate degree,32,1
Joe Biden,female,white,"25,000 to 49,999",highschool or less,61,0
Donald Trump,male,white,"150,000 or more",masters or above,41,1
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,18,0
Joe Biden,male,white,"100,000 to 149,999",associate degree,69,0
Joe Biden,female,white,"less than 25,000",highschool or less,61,0
Donald Trump,female,white,"less than 25,000",associate degree,67,1
Joe Biden,female,white,"less than 25,000",highschool or less,46,0
Joe Biden,female,"other race, nec","50,000 to 99,999",highschool or less,53,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,49,0
Joe Biden,male,white,"100,000 to 149,999",bachelors degree,41,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,41,1
Joe Biden,female,black/african american/negro,"100,000 to 149,999",bachelors degree,38,0
Donald Trump,female,white,"50,000 to 99,999",associate degree,71,1
Joe Biden,female,white,"50,000 to 99,999",bachelors degree,28,0
Joe Biden,male,white,"100,000 to 149,999",bachelors degree,62,0
Joe Biden,male,"other race, nec","25,000 to 49,999",highschool or less,38,0
Joe Biden,male,american indian or alaska native,"50,000 to 99,999",associate degree,37,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,27,0
Joe Biden,female,white,"150,000 or more",masters or above,45,0
Joe Biden,female,white,"less than 25,000",highschool or less,27,0
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,40,0
Donald Trump,male,white,"25,000 to 49,999",highschool or less,63,1
Donald Trump,female,white,"150,000 or more",bachelors degree,33,1
Joe Biden,male,white,"50,000 to 99,999",masters or above,71,0
Joe Biden,female,white,"less than 25,000",associate degree,23,0
Donald Trump,male,white,"100,000 to 149,999",masters or above,50,1
Donald Trump,female,black/african american/negro,"50,000 to 99,999",highschool or less,30,1
Joe Biden,male,white,"less than 25,000",highschool or less,18,0
Joe Biden,female,other asian or pacific islander,"50,000 to 99,999",associate degree,29,0
Donald Trump,female,white,"25,000 to 49,999",highschool or less,33,1
Joe Biden,female,white,"less than 25,000",highschool or less,21,0
Donald Trump,female,white,"less than 25,000",associate degree,18,1
Joe Biden,female,white,"less than 25,000",associate degree,22,0
Joe Biden,female,white,"less than 25,000",highschool or less,65,0
Joe Biden,male,white,"less than 25,000",associate degree,21,0
Donald Trump,female,white,"100,000 to 149,999",associate degree,31,1
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,63,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,18,0
Joe Biden,female,white,"25,000 to 49,999",highschool or less,34,0
Joe Biden,female,black/african american/negro,"less than 25,000",highschool or less,24,0
Joe Biden,female,white,"25,000 to 49,999",masters or above,39,0
Joe Biden,female,"other race, nec","50,000 to 99,999",highschool or less,49,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,58,1
Joe Biden,female,white,"less than 25,000",masters or above,60,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,34,0
Joe Biden,female,white,"25,000 to 49,999",highschool or less,31,0
Donald Trump,female,white,"100,000 to 149,999",highschool or less,46,1
Joe Biden,female,white,"100,000 to 149,999",associate degree,33,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,34,0
Donald Trump,female,white,"50,000 to 99,999",masters or above,52,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,35,0
Joe Biden,female,white,"less than 25,000",bachelors degree,58,0
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,38,0
Joe Biden,male,white,"150,000 or more",bachelors degree,56,0
Donald Trump,female,white,"150,000 or more",highschool or less,18,1
Donald Trump,male,white,"150,000 or more",masters or above,43,1
Joe Biden,female,white,"less than 25,000",bachelors degree,30,0
Donald Trump,female,white,"25,000 to 49,999",associate degree,58,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,45,0
Joe Biden,male,white,"150,000 or more",masters or above,41,0
Donald Trump,female,white,"150,000 or more",masters or above,36,1
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,63,0
Joe Biden,female,white,"less than 25,000",associate degree,55,0
Donald Trump,male,black/african american/negro,"less than 25,000",associate degree,40,1
Joe Biden,female,white,"100,000 to 149,999",associate degree,52,0
Donald Trump,female,american indian or alaska native,"100,000 to 149,999",bachelors degree,47,1
Joe Biden,female,white,"50,000 to 99,999",associate degree,73,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,58,0
Donald Trump,male,white,"less than 25,000",masters or above,69,1
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,65,0
Joe Biden,male,white,"150,000 or more",bachelors degree,36,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,52,0
Joe Biden,female,white,"less than 25,000",highschool or less,18,0
Donald Trump,male,white,"150,000 or more",masters or above,35,1
Donald Trump,male,black/african american/negro,"25,000 to 49,999",bachelors degree,62,1
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,36,0
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,75,1
Donald Trump,female,white,"100,000 to 149,999",associate degree,62,1
Joe Biden,male,white,"25,000 to 49,999",bachelors degree,26,0
Donald Trump,male,white,"25,000 to 49,999",highschool or less,48,1
Donald Trump,female,white,"25,000 to 49,999",highschool or less,88,1
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,63,1
Donald Trump,male,white,"less than 25,000",highschool or less,51,1
Donald Trump,female,white,"50,000 to 99,999",associate degree,52,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,53,0
Donald Trump,male,white,"100,000 to 149,999",highschool or less,51,1
Joe Biden,male,white,"150,000 or more",bachelors degree,56,0
Joe Biden,female,white,"less than 25,000",associate degree,59,0
Joe Biden,male,american indian or alaska native,"150,000 or more",bachelors degree,45,0
Joe Biden,female,"other race, nec","less than 25,000",highschool or less,58,0
Joe Biden,male,other asian or pacific islander,"less than 25,000",highschool or less,21,0
Donald Trump,male,white,"25,000 to 49,999",associate degree,50,1
Joe Biden,female,white,"50,000 to 99,999",highschool or less,31,0
Donald Trump,male,white,"150,000 or more",masters or above,23,1
Donald Trump,female,white,"less than 25,000",highschool or less,32,1
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,76,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,48,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,51,0
